หมวด (Category),ช่วงรายละเอียด (Resolution range),กลุ่ม/แบนด์ (Group/Band),ดาวเทียม/โหมด (Satellite/Mode),รายละเอียดภาพ (Resolution),Polarization,ประเภทราคา 1 (Price type 1),ราคา 1 (Price 1),ประเภทราคา 2 (Price type 2),ราคา 2 (Price 2),หน่วย (Unit),หมายเหตุ (Note)
ราคาข้อมูลจากดาวเทียมรายละเอียดสูงมาก (Very High Resolution),รายละเอียดภาพ 30 – 50 ซม.,,Pléiades NEO,30 cm.,,ข้อมูลในคลัง (Standard Archive),880,ข้อมูลชนิดสั่งถ่าย (Standard Tasking),"1,270",บาท/ตร.กม.,
ราคาข้อมูลจากดาวเทียมรายละเอียดสูงมาก (Very High Resolution),รายละเอียดภาพ 30 – 50 ซม.,,WorldView-4,30 cm.,,ข้อมูลในคลัง (Standard Archive),920,ข้อมูลชนิดสั่งถ่าย (Standard Tasking),"1,560",บาท/ตร.กม.,
ราคาข้อมูลจากดาวเทียมรายละเอียดสูงมาก (Very High Resolution),รายละเอียดภาพ 30 – 50 ซม.,,SuperView-2,42 cm.,,ข้อมูลในคลัง (Standard Archive),700,ข้อมูลชนิดสั่งถ่าย (Standard Tasking),"1,100",บาท/ตร.กม.,
ราคาข้อมูลจากดาวเทียมรายละเอียดสูงมาก (Very High Resolution),รายละเอียดภาพ 30 – 50 ซม.,,WorldView-1,50 cm.,,ข้อมูลในคลัง (Standard Archive),700,ข้อมูลชนิดสั่งถ่าย (Standard Tasking),"1,100",บาท/ตร.กม.,
ราคาข้อมูลจากดาวเทียมรายละเอียดสูงมาก (Very High Resolution),รายละเอียดภาพ 30 – 50 ซม.,,WorldView-2,50 cm.,,ข้อมูลในคลัง (Standard Archive),700,ข้อมูลชนิดสั่งถ่าย (Standard Tasking),"1,100",บาท/ตร.กม.,
ราคาข้อมูลจากดาวเทียมรายละเอียดสูงมาก (Very High Resolution),รายละเอียดภาพ 30 – 50 ซม.,,WorldView-3,50 cm.,,ข้อมูลในคลัง (Standard Archive),700,ข้อมูลชนิดสั่งถ่าย (Standard Tasking),"1,100",บาท/ตร.กม.,
ราคาข้อมูลจากดาวเทียมรายละเอียดสูงมาก (Very High Resolution),รายละเอียดภาพ 30 – 50 ซม.,,GeoEye-1,50 cm.,,ข้อมูลในคลัง (Standard Archive),700,ข้อมูลชนิดสั่งถ่าย (Standard Tasking),"1,100",บาท/ตร.กม.,
ราคาข้อมูลจากดาวเทียมรายละเอียดสูงมาก (Very High Resolution),รายละเอียดภาพ 30 – 50 ซม.,,Pléiades,50 cm.,,ข้อมูลในคลัง (Standard Archive),490,ข้อมูลชนิดสั่งถ่าย (Standard Tasking),830,บาท/ตร.กม.,
ราคาข้อมูลจากดาวเทียมรายละเอียดสูงมาก (Very High Resolution),รายละเอียดภาพ 30 – 50 ซม.,,EarthScanner,50 cm.,,ข้อมูลในคลัง (Standard Archive),400,ข้อมูลชนิดสั่งถ่าย (Standard Tasking),800,บาท/ตร.กม.,
ราคาข้อมูลจากดาวเทียมรายละเอียดสูงมาก (Very High Resolution),รายละเอียดภาพ 30 – 50 ซม.,,SuperView-1,50 cm.,,ข้อมูลในคลัง (Standard Archive),500,ข้อมูลชนิดสั่งถ่าย (Standard Tasking),900,บาท/ตร.กม.,
ราคาข้อมูลจากดาวเทียมรายละเอียดสูงมาก (Very High Resolution),รายละเอียดภาพ 30 – 50 ซม.,,KOMPSAT-3,50 cm.,,ข้อมูลในคลัง (Standard Archive),400,ข้อมูลชนิดสั่งถ่าย (Standard Tasking),700,บาท/ตร.กม.,
ราคาข้อมูลจากดาวเทียมรายละเอียดสูงมาก (Very High Resolution),รายละเอียดภาพ 30 – 50 ซม.,SKYSAT,SKYSAT,50 cm.,,ข้อมูลในคลัง (Standard Archive),300,ข้อมูลสั่งถ่าย (Standard Tasking),560,บาท/ตร.กม.,"พื้นที่การสั่งขั้นต่ำ (Archive) 1,250 ตร.กม.; Tasking โปรดติดต่อเจ้าหน้าที่; เข้าดูผ่าน API/Explorer"
ราคาข้อมูลจากดาวเทียมรายละเอียดสูง (High Resolution),รายละเอียดภาพ 60 ซม. – 2 ม.,,QuickBird,60 cm.,,ข้อมูลในคลัง (Standard Archive),700,ข้อมูลชนิดสั่งถ่าย (Standard Tasking),N/A,บาท/ตร.กม.,
ราคาข้อมูลจากดาวเทียมรายละเอียดสูง (High Resolution),รายละเอียดภาพ 60 ซม. – 2 ม.,,GaoFen-7,65 cm.,,ข้อมูลในคลัง (Standard Archive),400,ข้อมูลชนิดสั่งถ่าย (Standard Tasking),700,บาท/ตร.กม.,
ราคาข้อมูลจากดาวเทียมรายละเอียดสูง (High Resolution),รายละเอียดภาพ 60 ซม. – 2 ม.,,Jilin,75 cm.,,ข้อมูลในคลัง (Standard Archive),300,ข้อมูลชนิดสั่งถ่าย (Standard Tasking),600,บาท/ตร.กม.,
ราคาข้อมูลจากดาวเทียมรายละเอียดสูง (High Resolution),รายละเอียดภาพ 60 ซม. – 2 ม.,,DailyVision,75 cm.,,ข้อมูลในคลัง (Standard Archive),300,ข้อมูลชนิดสั่งถ่าย (Standard Tasking),600,บาท/ตร.กม.,
ราคาข้อมูลจากดาวเทียมรายละเอียดสูง (High Resolution),รายละเอียดภาพ 60 ซม. – 2 ม.,,GaoFen-2,80 cm.,,ข้อมูลในคลัง (Standard Archive),300,ข้อมูลชนิดสั่งถ่าย (Standard Tasking),400,บาท/ตร.กม.,
ราคาข้อมูลจากดาวเทียมรายละเอียดสูง (High Resolution),รายละเอียดภาพ 60 ซม. – 2 ม.,,IKONOS,1 m.,,ข้อมูลในคลัง (Standard Archive),400,ข้อมูลชนิดสั่งถ่าย (Standard Tasking),N/A,บาท/ตร.กม.,
ราคาข้อมูลจากดาวเทียมรายละเอียดสูง (High Resolution),รายละเอียดภาพ 60 ซม. – 2 ม.,Video / Night Imaging,Video Constellation,1 m.,,ข้อมูลในคลัง (Standard Archive),"142,500",ข้อมูลชนิดสั่งถ่าย (Standard Tasking),"285,000",ดูหมายเหตุ,หน่วย: บาท/30 วินาที; ถ่ายภาพเคลื่อนไหว/กลางคืน; วิดีโอจำกัดความยาว 30 วินาที/ช่วง
ราคาข้อมูลจากดาวเทียมรายละเอียดสูง (High Resolution),รายละเอียดภาพ 60 ซม. – 2 ม.,Video / Night Imaging,Night Imaging,1 m.,,ข้อมูลในคลัง (Standard Archive),800,ข้อมูลชนิดสั่งถ่าย (Standard Tasking),"1,400",ดูหมายเหตุ,หน่วย: บาท/ตร.กม.; พื้นที่สั่งขั้นต่ำ 100 ตร.กม.; ความกว้างแนวถ่ายอย่างน้อย 5 กม.
ราคาข้อมูลจากดาวเทียมรายละเอียดสูง (ต่อ) (High Resolution (cont.)),SPOT / ไทยโชต,SPOT,SPOT-6,1.5 m.,,ข้อมูลในคลัง (Standard Archive),190,ข้อมูลชนิดสั่งถ่าย (Standard Tasking),230,บาท/ตร.กม.,
